,Word1,Word2,Similarity Score,Ground Truth,Label
0,मोहब्बत,सेक्स,0.4918356016869043,6.8,1
1,बाघ,बिल्ली,0.619728752596688,7.0,1
2,किताब,कागज़,0.5661266879871195,7.6,1
3,कंप्यूटर,कीबोर्ड,0.5486297600583572,7.6,1
4,कंप्यूटर,इंटरनेट,0.8355129674493795,8.0,1
5,विमान,कार,0.7471785191389919,6.0,1
6,रेलगाड़ी,कार,0.893813444739702,6.2,1
7,टेलीफोन,संचार,0.6452196196292767,7.6,1
8,टेलीविजन,रेडियो,0.7750864873870179,6.4,1
9,मीडिया,रेडियो,0.6111523766849012,5.8,1
10,ब्रेड,मक्खन,0.666339114353906,6.6,1
11,खीरा,आलू,0.8014549420617297,5.8,1
12,चिकित्सक,नर्स,0.6603407868155744,7.6,1
13,प्रोफ़ेसर,चिकित्सक,0.6912155054670738,4.6,1
14,छात्र,प्रोफ़ेसर,0.39736933833210647,7.0,0
15,होशियार,छात्र,0.6115096612653952,5.2,1
16,होशियार,बेवकूफ,0.6465391795898962,6.2,1
17,किताब,पुस्तकालय,0.4327689533593452,7.6,1
18,बैंक,पैसे,0.6115520759570919,8.0,1
19,लकड़ी,जंगल,0.6390961148746576,7.0,1
20,प्रोफ़ेसर,खीरा,-0.012476869904602037,0.0,0
21,राजा,रानी,0.6430413965043373,8.2,1
22,बिशप,रबी,0.11154263174206389,7.0,0
23,यरूशलेम,इजराइल,0.5539128420888455,7.8,1
24,पवित्र,सेक्स,0.436114982822438,1.0,1
25,माराडोना,फ़ुटबॉल,0.45430333722231253,7.8,1
26,फ़ुटबॉल,सॉकर,0.8594769390944073,9.0,1
27,फ़ुटबॉल,बास्केटबाल,0.6270429564257165,6.4,1
28,फ़ुटबॉल,टेनिस,0.9812609222704135,5.8,1
29,टेनिस,रैकेट,0.3881949675671131,7.4,0
30,कानून,वकील,0.5582044807570143,7.8,1
31,चलचित्र,पॉपकॉर्न,0.12210505129047382,6.6,0
32,चलचित्र,आलोचक,0.4767493847510229,6.6,1
33,चलचित्र,थिएटर,0.540499170612693,8.4,1
34,पीना,कार,0.2629424510072823,1.4,0
35,पीना,कान,0.4119604606816486,0.4,1
36,पीना,मुंह,0.477323233806358,7.0,1
37,बच्चा,मां,0.7857636004187023,7.2,1
38,पीना,मां,0.4302410120013884,1.8,1
39,मणि,गहना,0.2824813302405412,6.8,0
40,भट्ठी,स्टोव,0.6957612602239504,8.4,1
41,भोजन,फल,0.7322437405099387,6.6,1
42,पक्षी,सारस,0.5364851379636832,7.4,1
43,भाई,साधु,0.3992975581755028,1.4,0
44,यात्रा,कार,0.5701916043403754,6.2,1
45,साधु,गुलाम,0.3417879147796385,0.2,0
46,कांच,जादूगर,0.2914576586411939,2.0,0
47,पैसे,मुद्रा,0.5821138690423904,8.6,1
48,पैसे,धन,0.807772448993685,9.2,1
49,पैसे,संपत्ति,0.6919796681104788,8.4,1
50,पैसे,बैंक,0.726899371305846,8.2,1
51,पैसे,जमा,0.7348798188445718,6.6,1
52,पैसे,ऑपरेशन,0.31921953800864955,2.6,0
53,बाघ,जैगुआर,0.19718236289451438,8.0,0
54,बाघ,जानवर,0.7909105381936725,7.6,1
55,बाघ,चिड़ियाघर,0.5254204666190261,6.8,1
56,मनोविज्ञान,चिंता,0.4434794630246758,6.2,1
57,मनोविज्ञान,डर,0.3398740713532807,5.2,0
58,मनोविज्ञान,डिप्रेशन,0.42400882818979996,7.0,1
59,मनोविज्ञान,क्लिनिक,0.3545744358670419,6.4,0
60,मनोविज्ञान,चिकित्सक,0.6031429606407979,7.0,1
61,मनोविज्ञान,मन,0.4734030683617877,7.4,1
62,मनोविज्ञान,स्वास्थ्य,0.7120725290063626,6.2,1
63,मनोविज्ञान,विज्ञान,1.0240343822623814,7.0,1
64,मनोविज्ञान,अनुशासन,0.567243804373784,4.2,1
